# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
182	249	ffffffffffffffff	ffffffff07ff0000	402653184	0	39	4	19	7	3	249	4	2	1	0
183	251	ffffffffffffffff	ffffffff09ff0000	268435456	64	39	4	19	7	3	251	4	2	1	0
184	253	18ffffffffffffff	09ffffffffff0000	268435456	64	39	4	19	7	3	253	4	2	1	0
185	255	ffffffffffffffff	09ffffffffff0000	268435456	64	39	4	19	7	3	255	4	2	1	0
186	256	03ffffffffff0d02	0cffffffffff0000	0	192	39	4	19	7	3	256	4	2	1	0
187	257	15ffffffffff040a	01ffffffffff0000	0	192	39	4	19	7	3	257	4	2	1	0
188	258	ffffffffffff040a	01ffffffffff0000	0	192	39	4	19	7	3	258	4	2	1	0
189	260	05ffffffffff0803	0dffffffffff0000	0	192	39	4	19	7	3	260	4	2	1	0
190	261	18ffffffffff070d	08ffffffffff0000	0	192	39	4	19	7	3	261	4	2	1	0
191	264	ffffffffffff070d	08ffffffffff0000	0	192	39	4	19	7	3	264	4	2	1	0
192	265	031affffffff0dff	0cffffffffff0000	0	192	39	4	19	7	3	265	4	2	1	0
193	266	1516ffffffff04ff	01ffffffffff0000	0	192	39	4	19	7	3	266	4	2	1	0
194	267	ff16ffffffff04ff	01ffffffffff0000	0	192	39	4	19	7	3	267	4	2	1	0
195	269	051bffffffff08ff	0dffffffffff0000	0	192	39	4	19	7	3	269	4	2	1	0
196	271	1819ffffffff07ff	08ffffffffff0000	0	192	39	4	19	7	3	271	4	2	1	0
197	273	ff19ffffffff07ff	08ffffffffff0000	0	192	39	4	19	7	3	273	4	2	1	0
198	274	03ffffffffffffff	0affffffffff0000	268435456	64	39	4	19	7	3	274	4	2	1	0
199	276	05ffffffffffffff	0bffffffffff0000	268435456	64	39	4	19	7	3	276	4	2	1	0
200	277	18ffffffffffffff	07ffffffffff0000	268435456	64	39	4	19	7	3	277	4	2	1	0
201	280	ffffffffffffffff	07ffffffffff0000	268435456	64	39	4	19	7	3	280	4	2	1	0
