idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
326	387	ffff2426ffffffff	ffffffff02ff0000	0	0	39	4	19	7	3	387	4	1	1	0
327	388	ffff2629ffffffff	ffffffff04ff0000	0	0	39	4	19	7	3	388	4	1	1	0
328	389	0003ffffffffffff	06ffffffffff0000	0	0	39	4	19	7	3	389	4	1	1	0
329	390	0305ffffffffffff	0affffffffff0000	0	0	39	4	19	7	3	390	4	1	1	0
330	391	ffff22ffffffffff	ffffffff0aff0000	268435456	64	39	4	19	7	3	391	4	2	3	0
331	392	3bff0effffffffff	04ffffffffff0000	268435456	64	39	4	19	7	3	392	4	2	3	0
332	394	0004ffffffffffff	08ffffffffff0000	0	0	39	4	19	7	3	394	4	1	1	0
333	395	32ff0effffffff08	01ffffffffff0000	0	192	39	4	19	7	3	395	4	2	3	0
334	396	32ff0effffffff08	01ffffffffff0000	0	192	39	4	19	7	3	396	4	2	3	0
335	398	2fff11ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	398	4	2	3	0
336	401	37ff12ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	401	4	2	3	0
337	402	37ff12ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	402	4	2	3	0
338	403	37ff12ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	403	4	2	3	0
339	404	36ff11ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	404	4	2	3	0
340	407	37ff03ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	407	4	2	3	0
341	408	36ff02ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	408	4	2	3	0
342	409	36ff02ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	409	4	2	3	0
343	410	36ff02ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	410	4	2	3	0
344	412	30ff12ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	412	4	2	3	0
345	413	30ff12ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	413	4	2	3	0
346	414	30ff12ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	414	4	2	3	0
347	415	30ff12ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	415	4	2	3	0
348	416	2fff11ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	416	4	2	3	0
349	417	2fff11ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	417	4	2	3	0
350	418	2fff11ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	418	4	2	3	0
351	421	37ff12ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	421	4	2	3	0
352	422	36ff11ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	422	4	2	3	0
353	423	36ff11ffffffff0f	00ffffffffff0000	0	192	39	4	19	7	3	423	4	2	3	0
354	424	36ff11ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	424	4	2	3	0
355	427	37ff03ffffffff11	00ffffffffff0000	0	192	39	4	19	7	3	427	4	2	3	0
356	428	37ff03ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	428	4	2	3	0
357	429	37ff03ffffffff11	17ffffffffff0000	0	192	39	4	19	7	3	429	4	2	3	0
358	430	36ff02ffffffff0f	10ffffffffff0000	0	192	39	4	19	7	3	430	4	2	3	0
359	435	1d1dffffffffffff	1bffffffffff0000	0	0	39	4	19	7	3	435	4	1	1	0
360	436	1e1dffffffffffff	1bffffffffff0000	0	0	39	4	19	7	3	436	4	1	1	0
361	437	201f07ffffffffff	1fffffffffff0000	0	0	39	4	19	7	3	437	4	1	1	0
362	438	1b19ffffffffff06	19ffffffffff0000	0	0	39	4	19	7	3	438	4	1	1	0
363	439	1614ffffffffff05	17ffffffffff0000	0	0	39	4	19	7	3	439	4	1	1	0
364	440	525204ffffffff21	0cffffffffff0000	0	0	39	4	19	7	3	440	4	1	1	0
365	441	171407ffffffff05	17ffffffffff0000	0	0	39	4	19	7	3	441	4	1	1	0
366	442	0f5204ffffffff04	0cffffffffff0000	0	0	39	4	19	7	3	442	4	1	1	0
367	443	4f4f04ffffffff1f	07ffffffffff0000	0	0	39	4	19	7	3	443	4	1	1	0
368	444	1313ffffffffffff	13ffffffffff0000	0	0	39	4	19	7	3	444	4	1	1	0
369	445	464cffffffffffff	04ffffffffff0000	0	0	39	4	19	7	3	445	4	1	1	0
370	446	1a18ffffffffffff	17ffffffffff0000	0	0	39	4	19	7	3	446	4	1	1	0
371	447	151307ffffffffff	13ffffffffff0000	0	0	39	4	19	7	3	447	4	1	1	0
372	448	ff27ffffffffffff	15ffffffffff0000	0	192	39	4	19	7	3	448	4	2	1	0
373	449	ff39ffffffffffff	0bffffffffff0000	0	192	39	4	19	7	3	449	4	2	1	0
374	450	ff39ffffffffffff	0bffffffffff0000	0	192	39	4	19	7	3	450	4	2	1	0
375	451	ffffff20ffffffff	ffffffff08ff0000	0	192	39	4	19	7	3	451	4	2	1	0
376	452	ffffff21ffffffff	ffffffff09ff0000	0	192	39	4	19	7	3	452	4	2	1	0
377	453	ffffff20ffffffff	ffffffff08ff0000	0	192	39	4	19	7	3	453	4	2	1	0
378	454	ffffff23ffffffff	ffffffff06ff0000	0	192	39	4	19	7	3	454	4	2	1	0
379	455	3b3b0effffffffff	04ffffffffff0000	0	192	39	4	19	7	3	455	4	2	3	0
380	456	3eff14ffffffffff	06ffffffffff0000	268435456	64	39	4	19	7	3	456	4	2	1	0
381	457	1211ffffffffffff	0bffffffffff0000	272629760	64	39	4	19	7	3	457	4	2	1	0
382	459	ffff1effffffffff	ffffffff0eff0000	268435456	64	39	4	19	7	3	459	4	2	1	0
383	460	43ffffffffffffff	1dffffffffff0000	335544320	64	39	4	19	7	3	460	4	2	1	0
384	461	3eff14ffffffffff	06ffffffffff0000	268435456	64	39	4	19	7	3	461	4	2	1	0
385	462	3effffffffffffff	06ffffffffff0000	268435456	64	39	4	19	7	3	462	4	2	1	0
386	463	2dffffffffffffff	09ffffffffff0000	4194304	192	39	4	19	7	3	463	4	2	3	0
387	464	0e59ffffffffffff	08ffffffffff0000	4194304	192	39	4	19	7	3	464	4	2	1	0
388	466	0dffffffffffffff	06ffffffffff0000	4194304	192	39	4	19	7	3	466	4	2	1	0
389	467	0d59ffffffffffff	08ffffffffff0000	4194304	192	39	4	19	7	3	467	4	2	1	0
390	468	38ffffffffffffff	09ffffffffff0000	4194304	192	39	4	19	7	3	468	4	2	3	0
391	469	385affffffffffff	0affffffffff0000	4194304	192	39	4	19	7	3	469	4	2	1	0
392	470	385affffffffffff	0affffffffff0000	4194304	192	39	4	19	7	3	470	4	2	1	0
393	474	0effffffffffffff	06ffffffffff0000	4194304	192	39	4	19	7	3	474	4	2	1	0
394	475	2d5affffffffffff	0affffffffff0000	4194304	192	39	4	19	7	3	475	4	2	1	0
395	476	2d5affffffffffff	0affffffffff0000	4194304	192	39	4	19	7	3	476	4	2	1	0
396	479	51510affffffff1d	0bffffffffff0000	0	0	39	4	19	7	3	479	4	1	1	0
