# sm_110 40-B dependency rules (430 classes).
# Resolved to the sm_103 Blackwell dependency-rule table @ .rodata VMA
# 0x2262720 (installer sub_ABF590 enum 0x4001).  Binary-derived
# (ptxas 13.0.88).  sm_120 == sm_121 byte-identical; both resolve to sm_103
# (FP64 DFMA/DADD decoupled like sm_103 -- not coupled like sm_100;
# dependent-DFMA issue gap 0x50 not 0x10 -- verified empirically).
# Identical bytes to dependency_rules_sm_103.tsv.
idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
301	543	1	29	6	56	8	-1	-1	33	2
302	544	0	52	21	56	1	-1	-1	39	4
303	547	1	42	15	56	4	-1	-1	1	1
304	548	1	42	15	56	4	-1	-1	1	1
305	549	0	22	2	56	2	-1	-1	39	4
306	550	1	34	13	56	8	27	-1	1	1
307	551	0	22	2	56	2	-1	-1	39	4
308	552	0	52	21	56	1	-1	-1	39	4
309	553	1	74	33	56	8	15	-1	36	1
310	554	1	17	0	56	8	-1	-1	33	2
311	555	0	22	2	56	2	-1	-1	39	4
312	556	0	22	2	56	2	-1	-1	39	4
313	559	1	46	19	14	4	-1	-1	12	1
314	560	1	46	19	14	4	-1	-1	12	1
315	569	1	42	15	56	4	-1	-1	1	1
316	570	1	42	15	56	4	-1	-1	4	1
317	571	0	22	2	56	2	-1	-1	39	4
318	572	0	22	2	56	2	-1	-1	39	4
319	574	1	42	15	56	4	-1	-1	1	1
320	575	1	42	15	56	4	-1	-1	1	1
321	576	1	18	0	43	8	25	-1	20	1
322	577	1	29	6	56	8	-1	5	5	1
323	579	0	22	2	56	2	-1	6	39	4
324	580	0	22	2	56	2	-1	-1	39	4
325	581	0	46	18	56	2	-1	6	39	4
326	582	1	28	5	56	4	-1	-1	5	1
327	583	1	44	17	56	4	-1	-1	33	2
328	584	1	17	0	56	8	-1	-1	22	1
329	585	0	22	2	56	2	-1	-1	39	4
330	586	0	22	2	56	2	-1	-1	39	4
331	590	1	17	0	56	8	-1	-1	0	1
332	591	1	17	0	56	8	-1	-1	0	1
333	592	0	22	2	56	2	-1	-1	39	4
334	593	0	22	2	56	2	-1	-1	39	4
335	594	1	42	15	56	4	-1	-1	1	1
336	595	0	22	2	56	2	-1	-1	39	4
337	596	0	22	2	56	2	-1	-1	39	4
