class	index	abi_value	name	handler	bit_actions	status
CUDA	70	70	R_CUDA_32_LO	NVRH_EITHER	bits[0..31]=LOADDR>>0	baseline
CUDA	71	71	R_CUDA_32_HI	NVRH_EITHER	bits[0..31]=HIADDR>>32	baseline
CUDA	72	72	R_CUDA_UNUSED_CLEAR32	NVRH_LINKER	bits[0..31]=CLEAR>>0	baseline
CUDA	73	73	R_CUDA_UNUSED_CLEAR64	NVRH_LINKER	bits[0..63]=CLEAR>>0	baseline
CUDA	74	74	R_CUDA_ABS24_40	NVRH_LINKER	bits[40..63]=ADDR>>0	baseline
CUDA	75	75	R_CUDA_ABS55_16_34	NVRH_DRIVER	bits[16..23]=SHIFT2>>2 ; bits[34..80]=SHIFT8>>10	baseline
CUDA	76	76	R_CUDA_8_0	NVRH_EITHER	bits[0..7]=ADDR8_0>>0	baseline
CUDA	77	77	R_CUDA_8_8	NVRH_EITHER	bits[0..7]=ADDR8_8>>8	baseline
CUDA	78	78	R_CUDA_8_16	NVRH_EITHER	bits[0..7]=ADDR8_16>>16	baseline
CUDA	79	79	R_CUDA_8_24	NVRH_EITHER	bits[0..7]=ADDR8_24>>24	baseline
CUDA	80	80	R_CUDA_8_32	NVRH_EITHER	bits[0..7]=ADDR8_32>>32	baseline
CUDA	81	81	R_CUDA_8_40	NVRH_EITHER	bits[0..7]=ADDR8_40>>40	baseline
CUDA	82	82	R_CUDA_8_48	NVRH_EITHER	bits[0..7]=ADDR8_48>>48	baseline
CUDA	83	83	R_CUDA_8_56	NVRH_EITHER	bits[0..7]=ADDR8_56>>56	baseline
CUDA	84	84	R_CUDA_G8_0	NVRH_DRIVER	bits[0..7]=GADDR8_0>>0	baseline
CUDA	85	85	R_CUDA_G8_8	NVRH_DRIVER	bits[0..7]=GADDR8_8>>8	baseline
CUDA	86	86	R_CUDA_G8_16	NVRH_DRIVER	bits[0..7]=GADDR8_16>>16	baseline
CUDA	87	87	R_CUDA_G8_24	NVRH_DRIVER	bits[0..7]=GADDR8_24>>24	baseline
CUDA	88	88	R_CUDA_G8_32	NVRH_DRIVER	bits[0..7]=GADDR8_32>>32	baseline
CUDA	89	89	R_CUDA_G8_40	NVRH_DRIVER	bits[0..7]=GADDR8_40>>40	baseline
CUDA	90	90	R_CUDA_G8_48	NVRH_DRIVER	bits[0..7]=GADDR8_48>>48	baseline
CUDA	91	91	R_CUDA_G8_56	NVRH_DRIVER	bits[0..7]=GADDR8_56>>56	baseline
CUDA	92	92	R_CUDA_FUNC_DESC_8_0	NVRH_DRIVER	bits[0..7]=FDESC8_0>>0	baseline
CUDA	93	93	R_CUDA_FUNC_DESC_8_8	NVRH_DRIVER	bits[0..7]=FDESC8_8>>8	baseline
CUDA	94	94	R_CUDA_FUNC_DESC_8_16	NVRH_DRIVER	bits[0..7]=FDESC8_16>>16	baseline
CUDA	95	95	R_CUDA_FUNC_DESC_8_24	NVRH_DRIVER	bits[0..7]=FDESC8_24>>24	baseline
CUDA	96	96	R_CUDA_FUNC_DESC_8_32	NVRH_DRIVER	bits[0..7]=FDESC8_32>>32	baseline
