table	id	severity_code	severity	message	source
main	324	5	error	Label expected for argument %d of instruction '%s'	plaintext
main	325	6	fatal	Label expected for forward reference of '%s'	plaintext
main	326	5	error	Illegal call target, device function expected	plaintext
main	327	5	error	Illegal branch target, label expected	plaintext
main	328	5	error	Variable '%s' must be type .u32 or .u64	plaintext
main	329	5	error	Array of incomplete type	plaintext
main	330	5	error	Illegal target for instruction '%s'	plaintext
main	331	5	error	Illegal argument for formal parameter '%s'	plaintext
main	332	5	error	Alignment of argument does not match formal parameter '%s'	plaintext
main	333	5	error	Type of argument does not match formal parameter '%s'	plaintext
main	334	5	error	Call has wrong number of parameters	plaintext
main	335	6	fatal	Call target not recognized	plaintext
main	336	5	error	Function '%s' not declared in this scope	plaintext
main	337	5	error	Parameter '%s' uses .allocno %d which overlaps with other parameter's .allocno	plaintext
main	338	5	error	Parameter '%s' uses .allocno %d which is not aligned for type '%s'	plaintext
main	339	5	error	Parameter '%s' has illegal alignment (must be aligned to 1, 2, 4, 8, 16, 32, 64, or 128 bytes)	plaintext
main	340	5	error	Function '%s' uses .allocno for some input and return parameters but not all	plaintext
main	341	5	error	Mismatch between declaration and definition of function '%s', %s differ	plaintext
main	342	5	error	Inconsistent prototypes of '%s', %s differ	plaintext
main	343	5	error	Inconsistent redefinition of '%s' as entry and function	plaintext
main	344	6	fatal	Inconsistent redefinition of symbol '%s'	plaintext
main	345	5	error	Duplicate definition of macro '%s'	plaintext
main	346	5	error	Duplicate definition of function '%s'	plaintext
main	347	5	error	Duplicate definition of variable '%s'	plaintext
main	348	5	error	Duplicate definition of label '%s'	plaintext
main	349	5	error	Unsupported cast operation	plaintext
main	350	6	fatal	Constant expression has division by zero	plaintext
main	351	5	error	Constant expression type mismatch	plaintext
main	352	5	error	Integer constant expression expected	plaintext
main	353	5	error	Constant overflow	plaintext
main	354	5	error	Entry function '%s' uses too much parameter space (0x%x bytes, 0x%x max).	plaintext
main	355	5	error	Illegal placement of kernel parameter attribute	plaintext
main	356	5	error	Illegal value for .address_size directive (must be 32 or 64)	plaintext
main	357	6	fatal	Error reading obfuscated PTX file	plaintext
main	358	5	error	Parsing error near '%s': %s	plaintext
main	359	6	fatal	Parsing error near '%s': %s	plaintext
main	360	6	fatal	Input file '%s' could not be opened	plaintext
main	361	3	warning	GNU Jobserver support requested, but no compatible jobserver found. Ignoring '--jobserver'	plaintext
main	362	6	fatal	Jobserver requested, but an error occurred	plaintext
main	363	5	error	Function '%s' uses reserved shared memory when not allowed.	plaintext
main	364	6	fatal	Cancellation of compilation requested through callback function	plaintext
main	365	2	info	Disabling default position-independent-code(pic) compilation mode as program requires more resources than allowed.	plaintext
main	366	5	error	Function '%s' uses single CTA(.cta_group::1) and CTA pair granularity(.cta_group::2) and that is not allowed.	plaintext
main	367	5	error	Function '%s' using feature '%s' and with shape '%s' cannot be compiled with specified register target constraints	plaintext
main	368	3	warning	Caller and callee expected to have different return address register but '%s' and '%s' both use R%d as return address register	plaintext
main	369	3	warning	Function '%s' specifies register R%d as scratch register which is used as return address register	plaintext
main	370	3	warning	Parameter register R%d is not marked as scratch for function '%s'	plaintext
main	371	3	warning	Register spills may happen since callee '%s' specifies register R%d as scratch but caller '%s' doesn't specify	plaintext
main	372	5	error	Parameter registers from R%d to R%d overlap with return address register R%d to R%d for %s '%s'	plaintext
main	373	5	error	Feature '%s' requires command line option '%s'.	plaintext
main	374	5	error	Pragma '%s' has value %d which is not aligned	plaintext
main	375	5	error	%s %d is invalid for %s	plaintext
main	376	5	error	Cannot specify R%d-R%d as %s since function '%s' is restricted to use maximum of %d registers	plaintext
main	377	5	error	Pragma %s value should be atleast %d %s	plaintext
main	378	3	warning	Pragma %s requires %s, ignoring pragma	plaintext
main	379	5	error	Pragma %s conflicts with previously defined pragma %s for function '%s'	plaintext
main	380	6	fatal	ABI mismatch when '%s' calls '%s': %s differ	plaintext
main	381	6	fatal	Mismatch in return address abi when '%s' calls '%s'	plaintext
main	382	6	fatal	Pragma '%s' cannot be specified for syscall function '%s'	plaintext
main	383	3	warning	'%s' option is ignored unless '%s' option is specified	plaintext
main	384	3	warning	'%s' option should be specified when '%s' option is given	plaintext
main	385	6	fatal	Unsupported instruction '%s' used when compiling for '%s' target architecture	plaintext
main	386	3	warning	Too many values specified for option '%s', option will be ignored	plaintext
main	387	3	warning	 %s section not found	plaintext
main	388	6	fatal	 32-Bit compilation is no longer supported	plaintext
main	389	6	fatal	 32-Bit ABI (--machine 32 or 32-Bit addressing) is not supported on %s or higher architectures.	plaintext
main	390	6	fatal	 %d Bit host architecture (--machine) being used must match with .address_size of %d bits for -g compilation	plaintext
main	391	3	warning	 %d Bit host architecture (--machine) being used mismatches with .address_size of %d bits	plaintext
main	392	3	warning	Program uses %d-bit address %s which is conflicting with .address_size %d	plaintext
main	393	6	fatal	Unknown function %s	plaintext
main	394	6	fatal	File '%s' could not be opened	plaintext
main	395	5	error	Program using constant pointers passed as entry function parameter cannot use cvta.const	plaintext
main	396	3	warning	Program compiled without abi might not work properly under debugger	plaintext
main	397	3	warning	'%s' option is not fully implemented for '%s' and may not work as expected	plaintext
main	398	3	warning	'%s' is a deprecated option, It will be removed in future release and is not recommended	plaintext
main	399	5	error	Entry function '%s' with max regcount of %d calls function '%s' with regcount of %d	plaintext
main	400	2	info	Command line option '%s' not supported for '%s', will be ignored	plaintext
main	401	3	warning	Option '%s' may not work as expected in separate compilation unless all modules participating in linking have this option specified.	plaintext
main	402	6	fatal	%s is not allowed when command line option '%s' is specified 	plaintext
main	403	5	error	%s is not allowed when command line option '%s' is specified 	plaintext
main	404	3	warning	Command line option '%s' not supported for '%s', will be ignored	plaintext
main	405	6	fatal	'%s' requires PTX ISA .version %s or later	plaintext
main	406	5	error	Function with multiple return values is not allowed with ABI	plaintext
main	407	3	warning	Function %s%s%s with multiple return values found, disabling ABI	plaintext
main	408	3	warning	Use of module scoped .local or .reg variable '%s' found, disabling ABI	plaintext
main	409	6	fatal	Line No: %s: Cannot take address of %s '%s' %s	plaintext
main	410	6	fatal	Cannot take address of %s '%s' %s	plaintext
main	411	3	warning	Value specified in pragma %s %d for '%s' should be lower than the %s %d. Ignoring %s	plaintext
main	412	6	fatal	Invalid value for --Ofast-compile/-Ofc (%s), is not 'max', 'mid', 'min', or '0'	plaintext
main	413	3	warning	Value of RegUsageLevel (%d) is out of valid range {0..10}, option will be ignored	plaintext
main	414	3	warning	Too big maxrregcount value specified %d, will be ignored	plaintext
main	415	3	warning	For %s %s adjusting per thread register count of %d to lower bound of %d	plaintext
main	416	2	info	Overriding maximum register limit %d for '%s' with %s %d %s	plaintext
main	417	2	info	Overriding global maxrregcount %d with entry-specific value %d %s	plaintext
main	418	3	warning	Value of %s for entry %s is out of range. %s will be ignored	plaintext
main	419	3	warning	Too many %s specified for entry %s, will be ignored	plaintext
main	420	6	fatal	Function '%s' is recursive	plaintext
main	421	3	warning	Unresolved extern variable '%s' in whole program compilation, ignoring extern qualifier	plaintext
main	422	6	fatal	Unresolved extern %s '%s'	plaintext
main	423	6	fatal	Conflicting options %s and %s specified	plaintext
main	424	3	warning	Option %s requires option %s; ignoring since latter is not specified	plaintext
main	425	3	warning	Conflicting options %s and %s specified, ignoring %s option	plaintext
main	426	2	info	STAT: %s	plaintext
main	427	5	error	Invalid value '%d' of '%s' with option '%s'	plaintext
main	428	6	fatal	Invalid value '%s' for option '%s'	plaintext
main	429	6	fatal	Unknown option '%s'	plaintext
main	430	3	warning	Construct '%s' on %s is supported only with %s, ignoring construct	plaintext
main	431	3	warning	Pragma '%s' on %s is supported only with %s, ignoring pragma	plaintext
main	432	3	warning	Pragma '%s' not supported on %s, ignoring pragma	plaintext
